pos_idx,frame_idx,u_px,v_px,depth_m_corrected,confidence,x_old,y_old,z_old,x_cal,y_cal,z_cal
1,0,952.148,387.600,0.261,0.95,0.588,0.004,0.115,0.588,0.013,0.093
1,1,951.745,387.586,0.263,0.95,0.590,0.004,0.115,0.590,0.013,0.093
1,2,952.228,387.743,0.260,0.95,0.587,0.004,0.114,0.587,0.013,0.092
1,3,951.987,387.682,0.258,0.95,0.585,0.004,0.114,0.585,0.013,0.092
1,4,952.239,387.732,0.262,0.95,0.589,0.004,0.115,0.589,0.013,0.093
1,5,952.222,387.716,0.258,0.95,0.585,0.004,0.114,0.585,0.013,0.092
1,6,952.053,387.755,0.262,0.95,0.589,0.004,0.115,0.589,0.013,0.093
1,7,951.590,387.582,0.258,0.95,0.585,0.004,0.114,0.585,0.013,0.092
1,8,951.778,387.580,0.263,0.95,0.590,0.004,0.115,0.590,0.013,0.093
1,9,951.805,387.526,0.260,0.95,0.587,0.004,0.115,0.587,0.013,0.093
2,0,1434.220,349.898,0.276,0.94,0.603,-0.236,0.138,0.603,-0.094,0.107
2,1,1434.311,349.923,0.276,0.94,0.603,-0.236,0.138,0.603,-0.094,0.106
2,2,1434.239,349.715,0.283,0.93,0.610,-0.243,0.140,0.610,-0.096,0.108
2,3,1434.160,349.888,0.281,0.94,0.608,-0.241,0.139,0.608,-0.096,0.108
2,4,1434.266,349.814,0.277,0.94,0.604,-0.237,0.138,0.604,-0.094,0.107
2,5,1434.238,349.909,0.286,0.94,0.613,-0.245,0.141,0.613,-0.097,0.109
2,6,1434.273,349.910,0.286,0.94,0.613,-0.245,0.141,0.613,-0.097,0.109
2,7,1434.278,349.990,0.280,0.94,0.607,-0.239,0.139,0.607,-0.095,0.107
2,8,1434.266,349.930,0.279,0.94,0.606,-0.239,0.139,0.606,-0.095,0.107
2,9,1434.339,349.751,0.279,0.94,0.606,-0.239,0.139,0.606,-0.095,0.107
3,0,531.629,370.563,0.243,0.53,0.570,0.188,0.117,0.570,0.096,0.095
3,1,532.071,370.658,0.246,0.41,0.573,0.190,0.118,0.573,0.097,0.095
3,2,531.923,370.671,0.240,0.51,0.567,0.185,0.116,0.567,0.095,0.094
3,3,531.810,370.725,0.245,0.51,0.572,0.189,0.118,0.572,0.097,0.095
3,4,531.878,370.558,0.234,0.46,0.561,0.181,0.114,0.561,0.092,0.093
3,5,531.708,370.527,0.239,0.47,0.566,0.185,0.116,0.566,0.095,0.094
3,6,531.946,370.594,0.242,0.45,0.569,0.187,0.117,0.569,0.095,0.094
3,7,531.555,370.594,0.248,0.49,0.575,0.192,0.119,0.575,0.098,0.096
3,8,531.997,370.705,0.243,0.59,0.570,0.188,0.117,0.570,0.096,0.095
3,9,532.067,370.712,0.246,0.54,0.573,0.190,0.118,0.573,0.097,0.095
