pos_idx,frame_idx,u_px,v_px,depth_m_corrected,confidence,x_old,y_old,z_old,x_cal,y_cal,z_cal
1,0,1237.902,418.191,0.421,0.93,0.748,-0.072,0.114,0.748,-0.072,0.114
1,1,1238.456,418.319,0.409,0.94,0.736,-0.070,0.112,0.736,-0.070,0.112
1,2,1238.309,418.137,0.404,0.94,0.731,-0.069,0.111,0.731,-0.069,0.111
1,3,1238.321,418.173,0.394,0.93,0.721,-0.068,0.109,0.721,-0.068,0.109
1,4,1238.336,418.268,0.405,0.93,0.732,-0.069,0.111,0.732,-0.069,0.111
1,5,1238.306,418.125,0.408,0.93,0.735,-0.070,0.112,0.735,-0.070,0.112
1,6,1238.350,418.124,0.406,0.93,0.733,-0.070,0.112,0.733,-0.070,0.112
1,7,1238.119,417.994,0.404,0.93,0.731,-0.069,0.111,0.731,-0.069,0.111
1,8,1238.167,418.038,0.407,0.93,0.734,-0.070,0.112,0.734,-0.070,0.112
1,9,1238.169,418.127,0.405,0.93,0.732,-0.069,0.111,0.732,-0.069,0.111
