timestamp,target_x,target_y,target_z,confidence,depth_m,lift_hip,lift_thigh,lift_calf,extend_hip,extend_thigh,extend_calf,fk_success,fk_contact_step,contact_method,duration_s,human_success,notes
2026-04-21T19:59:16,0.5689,-0.0958,0.1343,0.9551,0.2419,0.0400,-1.0000,0.1000,0.0400,-2.0000,0.5200,False,-1,none,34.1152,n,too far
2026-04-21T20:00:54,0.6130,-0.0040,0.2313,0.9464,0.2860,0.0400,-1.0000,0.1000,0.0400,-2.0000,0.5200,False,-1,none,32.4734,n,n
2026-04-21T20:02:30,0.5618,-0.0012,0.2025,0.9138,0.2348,0.0400,-1.0000,0.1000,0.0400,-2.0000,0.5200,False,-1,none,33.2529,n,n
2026-04-21T20:04:06,0.5975,-0.0276,0.2047,0.9554,0.2705,0.0400,-1.0000,0.1000,0.0400,-2.0000,0.5200,False,-1,none,32.5791,n,n
2026-04-21T20:06:08,0.5870,0.0242,0.2203,0.9466,0.2600,0.0400,-1.0000,0.1000,0.0400,-2.0000,0.5200,False,-1,none,32.4701,n,n
